,Vertiport_1,Vertiport_2,Vertiport_3,Vertiport_4,Vertiport_5,Vertiport_6,Vertiport_7,Vertiport_8,Vertiport_9
Vertiport_1,0.0,4.745658092053013,7.654544453228288,3.862550543397692,7.275679177697709,3.228262190575177,2.8079782522823447,1.1864145384643678,1.913300329322059
Vertiport_2,4.745658092053013,0.0,6.0045260388064,1.9133003293228332,2.8079782522823447,4.6568685683126985,2.8079782522823447,3.5592435906728186,3.862550543398842
Vertiport_3,7.654544453228288,6.0045260388064,0.0,7.5988976461735085,5.090777980980355,4.657861941131738,5.090777980980355,6.9808165272573826,8.307228591621705
Vertiport_4,3.862550543397692,1.9133003293228332,7.5988976461735085,0.0,4.656371711792212,5.090374029153525,3.2281825570668827,2.8076120001078295,2.3723956146012837
Vertiport_5,7.275679177697709,2.8079782522823447,5.090777980980355,4.656371711792212,0.0,6.120633980923698,4.746524740907612,6.119583921765259,6.648538664474961
Vertiport_6,3.228262190575177,4.6568685683126985,4.657861941131738,5.090374029153525,6.120633980923698,0.0,1.9135690342453044,3.0022630194031996,4.5033945291048
Vertiport_7,2.8079782522823447,2.8079782522823447,5.090777980980355,3.2281825570668827,4.746524740907612,1.9135690342453044,0.0,1.913434694657846,3.2281825570673415
Vertiport_8,1.1864145384643678,3.5592435906728186,6.9808165272573826,2.8076120001078295,6.119583921765259,3.0022630194031996,1.913434694657846,0.0,1.5011315097015998
Vertiport_9,1.913300329322059,3.862550543398842,8.307228591621705,2.3723956146012837,6.648538664474961,4.5033945291048,3.2281825570673415,1.5011315097015998,0.0
