Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Start_Vertiport,End_Vertiport,PassengerFlow,Flights,AirKM,LoadFactor,ModelStatus
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T3,584,645,4.0,1.0,6.120633980923698,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T3,782,449,1.0,1.0,8.307228591621705,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,717,449,2.0,1.0,7.654544453228288,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,449,716,2.0,1.0,6.9808165272573826,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,449,782,2.0,1.0,8.307228591621705,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,645,584,2.0,1.0,6.120633980923698,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,645,716,2.0,1.0,6.119583921765259,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,716,645,2.0,1.0,6.119583921765259,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T4,782,449,1.0,1.0,8.307228591621705,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T5,717,449,1.0,1.0,7.654544453228288,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T5,449,717,3.0,1.0,7.654544453228288,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T5,449,782,9.0,3.0,8.307228591621705,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T5,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T5,645,716,2.0,1.0,6.119583921765259,0.5,OPTIMAL
