Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,62494.045168974444,1.2001143086755497e-07,0.42675304412841797,210,18,3780,180,250,250.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,79207.41426824294,7.575048801195775e-08,0.2713601589202881,205,18,3690,180,302,302.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,99757.89840060973,4.761528004723491e-08,0.5760221481323242,290,18,5220,180,386,386.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,138715.56859759396,0.000510643754070909,0.2845790386199951,408,18,7344,180,538,538.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,96818.88747521027,6.971780518432416e-08,0.31383705139160156,336,18,6048,180,388,388.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,61037.011320757425,9.010925767842017e-08,0.3693509101867676,248,18,4464,180,260,260.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,80445.27749994765,8.08002731552409e-08,0.5231678485870361,335,18,6030,180,348,348.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,86140.29975407406,6.094708641606582e-08,0.6728169918060303,363,18,6534,180,372,372.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,86082.28542947907,3.71902457546088e-15,0.904991865158081,379,18,6822,180,387,387.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,67067.13687073835,0.007288537882019189,0.8282358646392822,287,18,5166,180,288,288.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,11,OPTIMAL,True,52854.7131704959,9.932888732644868e-08,0.8099370002746582,176,18,3168,180,212,212.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,12,OPTIMAL,True,84975.50412190745,5.2956441702282434e-08,0.5445780754089355,299,18,5382,180,353,353.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,13,OPTIMAL,True,116015.23552092403,0.004109972583385154,0.8019850254058838,422,18,7596,180,474,474.0,0.0,1.0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,14,OPTIMAL,True,121263.1810204604,0.001504871392518808,0.25873708724975586,466,18,8388,180,512,512.0,0.0,1.0
