Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Order,Origin,Destination,Demand,ServedFlow,UnservedFlow,ServiceRate,ModelStatus
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,6,437,364,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,7,441,436,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,8,463,402,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,9,465,424,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,10,466,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,11,467,380,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,12,467,418,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,13,467,572,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,14,468,399,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,15,483,417,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,16,483,420,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,17,483,437,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,18,483,459,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,19,484,416,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,20,485,463,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T1,21,503,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,0,402,397,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,1,422,226,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,2,423,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,3,438,319,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,4,441,424,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,5,441,442,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,6,441,459,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,7,442,514,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,8,464,459,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,9,466,364,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,10,466,380,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,11,467,418,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,12,467,440,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,13,467,461,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,14,468,461,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,15,483,418,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,16,484,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,17,484,341,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,18,485,418,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,19,485,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,20,486,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T2,21,486,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,0,379,384,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,1,380,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,2,382,485,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,3,383,441,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,4,417,503,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,5,421,361,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,6,424,263,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,7,439,284,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,8,442,263,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,9,442,382,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,10,443,382,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,11,464,422,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,12,466,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,13,466,415,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,14,483,380,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,15,483,437,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T3,16,485,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,0,359,466,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,1,363,382,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,2,363,402,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,3,382,513,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,4,404,300,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,5,422,466,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,6,442,403,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,7,466,384,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,8,467,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,9,483,421,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,10,483,422,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,11,485,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,12,486,403,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T4,13,504,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,0,363,422,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,1,384,664,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,2,422,467,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,3,441,382,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,4,442,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,5,465,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,6,466,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,7,466,338,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,8,466,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,9,466,511,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,10,467,264,3,3.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,11,467,462,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,12,467,476,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,13,484,264,3,3.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,14,484,459,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,15,485,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,16,486,418,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T5,17,504,264,2,2.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,0,360,442,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,1,397,467,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,2,402,502,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,3,415,440,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,4,418,263,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,5,420,264,1,1.0,0.0,1.0,OPTIMAL
